"Joint
Number
",wheel,type,WT,"ID/
OD
",hours,minutes,degrees,DTDC,depth,length,width
7,43.117,MLOS,0.25,E,6,10,185,-175,21,4.1,2.89
7,54.317,MLOS,0.25,E,11,35,347.5,-12.5,19,1.5,1.92
7,55.333,MLOS,0.25,E,12,20,10,10,23,1.1,0.76
8,95.792,MLOS,0.25,E,3,20,100,100,27,1.2,1.5
8,95.825,MLOS,0.25,E,8,10,245,-115,29,2.6,1.42
8,98.775,MLOS,0.25,E,6,20,190,-170,24,1.2,1.3
8,118.558,MLOS,0.25,I,2,45,82.5,82.5,26,3.8,6.53
8,118.617,MLOS,0.25,E,12,40,20,20,31,0.7,1.2
8,118.975,MLOS,0.25,I,3,5,92.5,92.5,54,5.9,4.3
34,1225.033,MLOS,0.25,E,5,35,167.5,167.5,19,1.8,1.27
35,1299.025,MLOS,0.25,E,6,25,192.5,-167.5,20,2.1,2.38
35,1301.825,MLOS,0.25,E,5,50,175,175,19,5.7,2.28
35,1302.175,MLOS,0.25,E,5,40,170,170,21,2.6,4.46
37,1376.092,MLOS,0.25,E,7,5,212.5,-147.5,18,0.6,1.1
37,1376.342,MLOS,0.25,E,6,45,202.5,-157.5,19,5.3,6.18
37,1376.75,MLOS,0.25,E,5,45,172.5,172.5,21,1.1,1.42
37,1377.242,MLOS,0.25,E,6,50,205,-155,18,4.3,5.42
37,1416.5,MLOS,0.25,E,6,25,192.5,-167.5,22,3.4,3.95
38,1450.675,MLOS,0.25,E,5,50,175,175,21,2.8,4.3
38,1450.883,MLOS,0.25,E,6,20,190,-170,18,0.3,0.5
38,1451.225,MLOS,0.25,E,6,25,192.5,-167.5,23,3.2,2.53
39,1503.675,MLOS,0.25,E,6,45,202.5,-157.5,19,3.3,1.67
39,1504.15,MLOS,0.25,E,6,15,187.5,-172.5,24,4.4,6.73
39,1504.842,MLOS,0.25,E,6,50,205,-155,18,3,4.56
40,1536.325,MLOS,0.25,E,6,20,190,-170,27,2.7,4.05
40,1538.008,MLOS,0.25,E,6,10,185,-175,21,2.3,3.54
40,1538.683,MLOS,0.25,E,5,30,165,165,18,2.5,2.38
40,1538.825,MLOS,0.25,E,7,5,212.5,-147.5,37,0.6,0.8
40,1539.142,MLOS,0.25,E,5,50,175,175,27,5,5.06
44,1756.908,MLOS,0.25,E,5,50,175,175,20,1.2,1.32
49,1962.042,MLOS,0.25,E,5,35,167.5,167.5,18,0.3,0.6
49,1993.292,MLOS,0.25,E,6,40,200,-160,20,7.9,3.95
51,2060.525,MLOS,0.25,E,6,30,195,-165,18,2.6,3.29
51,2079.733,MLOS,0.25,E,12,0,0,0,19,0.4,0.6
51,2080.442,MLOS,0.25,E,12,30,15,15,19,1.5,3.44
51,2086.492,MLOS,0.25,E,12,55,27.5,27.5,18,0.8,0.7
51,2086.633,MLOS,0.25,E,12,55,27.5,27.5,19,0.7,0.7
51,2086.808,MLOS,0.25,E,12,55,27.5,27.5,21,0.3,0.5
51,2087.825,MLOS,0.25,E,12,55,27.5,27.5,18,0.6,0.7
51,2088.175,MLOS,0.25,E,12,55,27.5,27.5,23,2.7,3.29
51,2089.125,MLOS,0.25,E,12,35,17.5,17.5,19,0.3,0.5
51,2090.25,MLOS,0.25,E,12,35,17.5,17.5,19,1.2,0.86
51,2090.542,MLOS,0.25,E,1,5,32.5,32.5,23,4.7,3.8
51,2091.092,MLOS,0.25,E,1,10,35,35,26,1.6,1.77
51,2091.367,MLOS,0.25,E,1,10,35,35,28,2.2,2.03
51,2093.158,MLOS,0.25,E,12,50,25,25,21,0.6,0.6
51,2093.808,MLOS,0.25,E,12,10,5,5,20,1.7,0.86
51,2094.383,MLOS,0.25,E,12,40,20,20,19,1.5,3.04
51,2094.975,MLOS,0.25,E,12,40,20,20,28,0.6,0.6
51,2096.258,MLOS,0.25,E,12,5,2.5,2.5,21,0.5,0.5
51,2096.375,MLOS,0.25,E,12,25,12.5,12.5,21,0.3,0.5
51,2096.625,MLOS,0.25,E,12,10,5,5,19,0.7,0.9
52,2098.042,MLOS,0.25,E,12,0,0,0,18,0.3,0.6
52,2099.175,MLOS,0.25,E,12,0,0,0,19,1.7,2.13
52,2100.175,MLOS,0.25,E,12,0,0,0,18,0.3,0.6
52,2101.192,MLOS,0.25,E,12,0,0,0,21,1.4,2.03
52,2102.158,MLOS,0.25,E,12,40,20,20,18,1.5,2.79
52,2102.508,MLOS,0.25,E,11,45,352.5,-7.5,20,0.4,0.5
52,2106.725,MLOS,0.25,E,11,45,352.5,-7.5,19,0.4,0.6
52,2107.225,MLOS,0.25,E,12,55,27.5,27.5,22,0.6,0.7
52,2108.883,MLOS,0.25,E,6,20,190,-170,18,4.1,3.9
52,2110.358,MLOS,0.25,E,6,45,202.5,-157.5,20,0.9,1.2
52,2112.375,MLOS,0.25,E,5,40,170,170,19,4,5.06
52,2112.6,MLOS,0.25,E,5,20,160,160,19,0.7,1.1
52,2112.933,MLOS,0.25,E,4,50,145,145,22,0.4,0.5
52,2113.217,MLOS,0.25,E,6,5,182.5,-177.5,21,4.3,6.84
52,2113.642,MLOS,0.25,E,5,35,167.5,167.5,19,3.4,6.08
52,2115.933,MLOS,0.25,E,12,45,22.5,22.5,19,0.5,0.7
52,2116.108,MLOS,0.25,E,12,45,22.5,22.5,18,0.5,0.8
52,2117.192,MLOS,0.25,E,1,0,30,30,18,0.8,1.1
52,2118.025,MLOS,0.25,E,12,5,2.5,2.5,19,0.6,0.7
52,2118.917,MLOS,0.25,E,12,30,15,15,20,0.7,2.79
52,2119.383,MLOS,0.25,E,11,50,355,-5,18,1.8,2.79
52,2124.042,MLOS,0.25,E,6,45,202.5,-157.5,19,2.5,3.04
52,2124.375,MLOS,0.25,E,6,10,185,-175,19,3.2,4.41
52,2125.492,MLOS,0.25,E,6,10,185,-175,21,1,2.63
52,2125.583,MLOS,0.25,E,6,55,207.5,-152.5,22,2.7,2.94
52,2126.117,MLOS,0.25,E,6,40,200,-160,21,0.4,0.6
52,2142.075,MLOS,0.25,E,5,40,170,170,18,0.6,1.1
