wheel,station,Tool Speed (ft/sec),depth,WT,SMYS,length,width,clock,degrees,DTDC,Int/Ext
42.67,42.36,5.98,26,0.25,35000,4.924,2.634,6:00,180,180,External
45.91,45.77,5.97,19,0.25,35000,0.609,0.651,6:15,187,-173,External
55.33,55.16,6.1,21,0.25,35000,0.767,0.723,11:15,336,-24,External
95.31,95.04,5.98,38,0.25,35000,0.795,1.001,3:00,92,92,External
95.35,95.09,5.98,49,0.25,35000,0.585,0.61,7:45,237,-123,External
95.48,95.22,5.98,23,0.25,35000,0.516,0.474,7:45,232,-128,External
98.31,98.04,5.98,45,0.25,35000,0.652,0.801,6:00,177,177,External
98.99,98.72,5.98,23,0.25,35000,0.838,0.575,12:00,0,0,External
1301.25,1297.94,7.57,25,0.25,35000,2.688,2.077,5:30,166,166,External
1352.04,1348.6,7.49,19,0.25,35000,2.886,2.948,5:30,164,164,External
1416.39,1412.82,7.66,32,0.25,35000,2.179,3.571,5:30,166,166,External
1422.78,1419.26,7.51,26,0.25,35000,0.568,0.404,8:30,257,-103,External
1503.75,1499.97,7.87,30,0.25,35000,2.068,2.227,6:15,185,-175,External
1503.93,1500.11,7.87,25,0.25,35000,2.725,2.115,5:45,175,175,External
1503.9,1500.18,7.87,19,0.25,35000,0.507,0.692,5:00,150,150,External
1538.54,1534.74,7.4,32,0.25,35000,0.527,0.687,6:45,200,-160,External
1538.74,1534.86,7.4,30,0.25,35000,2.074,2.386,5:45,170,170,External
1682.47,1678.31,7.4,20,0.25,35000,0.635,0.558,6:30,195,-165,External
1708.01,1703.77,7.43,26,0.25,35000,0.855,0.807,6:30,199,-161,External
1910.42,1905.61,7.29,19,0.25,35000,2.658,2.17,6:45,200,-160,External
2000.94,1995.99,7.15,20,0.25,35000,0.509,0.506,4:45,142,142,External
2060.89,2055.79,7.87,24,0.25,35000,0.863,0.895,6:00,180,180,External
2082.3,2077.15,7.69,21,0.25,35000,0.562,0.672,11:30,349,-11,External
2087.07,2081.91,7.9,19,0.25,35000,0.545,0.713,12:30,15,15,External
2088.53,2083.28,7.9,24,0.25,35000,2.549,1.829,12:30,16,16,External
2089.61,2084.41,7.9,21,0.25,35000,1.444,1.022,12:00,360,0,External
2090.67,2085.47,8.01,21,0.25,35000,1.236,0.492,12:00,1,1,External
2091.35,2086.11,8.01,20,0.25,35000,2.236,1.109,11:30,347,-13,External
2091.57,2086.34,8.01,21,0.25,35000,1.894,1.788,12:30,15,15,External
2091.82,2086.64,8.01,43,0.25,35000,0.823,0.433,12:45,23,23,External
2092.52,2087.35,8.01,20,0.25,35000,0.516,0.622,12:15,11,11,External
2092.75,2087.58,8.01,29,0.25,35000,0.529,0.424,11:15,336,-24,External
2093.6,2088.42,8.01,22,0.25,35000,0.73,0.404,12:15,10,10,External
2094.83,2089.66,8.01,29,0.25,35000,0.509,0.737,12:15,9,9,External
2095.09,2089.83,8.01,20,0.25,35000,2.486,0.799,12:00,2,2,External
2095.39,2090.17,8.01,24,0.25,35000,1.447,0.52,12:15,4,4,External
2097.08,2091.89,8.01,32,0.25,35000,0.738,0.483,11:30,349,-11,External
2098.11,2092.92,7.99,22,0.25,35000,0.614,0.461,12:15,10,10,External
2105.6,2100.39,7.99,21,0.25,35000,0.713,0.506,2:00,62,62,External
2107.7,2102.49,7.63,22,0.25,35000,0.581,0.545,12:30,15,15,External
2109.19,2103.95,7.63,19,0.25,35000,1.399,1.91,5:30,166,166,External
2109.36,2104.15,7.63,21,0.25,35000,0.542,0.434,5:45,174,174,External
2110.83,2105.61,7.63,26,0.25,35000,0.63,0.692,6:15,188,-172,External
2117.65,2112.41,7.51,20,0.25,35000,0.776,0.559,12:30,16,16,External
2147.35,2141.9,7.62,21,0.25,35000,2.462,2.656,6:45,201,-159,External
2151.65,2146.21,7.6,19,0.25,35000,0.604,0.958,1:30,43,43,External
2472.13,2461.69,7.48,40,0.25,35000,3.057,1.316,6:15,188,-172,External
2472.45,2462.03,7.48,19,0.25,35000,2.217,1.439,6:15,191,-169,External
2517.8,2506.76,7.1,20,0.25,35000,0.757,0.605,7:00,211,-149,External
2532.27,2520.99,6.7,19,0.25,35000,1.045,0.647,5:15,159,159,External
2548.49,2536.82,7.48,19,0.25,35000,4.549,1.277,6:30,196,-164,External
2564.95,2553.19,8.23,21,0.25,35000,0.587,0.637,6:30,197,-163,External
