Item No.,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
44,497.75,9.28,95.75,Ext,5,1.761,3.528,22
51,649.04,30.47,56,Ext,10,3.757,10.512,22
52,649.48,30.92,100.25,Ext,17,9.548,13.8,22
56,753.32,16.16,88.25,Ext,12,4.578,9.696,22
57,754.01,16.85,111,Ext,10,0.529,1.176,22
58,754.28,17.11,95.75,Ext,19,4.05,10.872,22
59,755.83,18.67,102.75,Ext,22,8.98,12.624,22
63,817.57,1.53,46.5,Ext,6,0.47,0.792,22
72,1054.45,0.98,84.75,Ext,29,10.272,9.6,22
73,1074.18,20.71,90.5,Ext,12,1.781,1.464,22
74,1088.44,34.97,89,Ext,7,0.411,0.84,22
79,1231.24,19.21,81.75,Ext,13,1.37,1.752,22
81,1257.6,5.92,92.75,Ext,3,4.246,5.064,22
82,1262.01,10.33,66.5,Ext,5,2.329,5.592,22
89,1411.71,1.81,91.5,Ext,28,1.233,4.032,22
93,1530.08,1.1,101.25,Ext,9,0.47,0.768,22
94,1530.84,1.86,110.75,Ext,8,4.246,5.76,22
97,1608.68,0.22,87.75,Ext,12,6.339,9.288,22
98,1609.16,0.69,88.5,Ext,5,0.705,1.32,22
99,1610.37,1.9,91.5,Ext,9,1.409,4.56,22
104,1751.53,23.88,90,Ext,10,9.039,13.536,22
107,1837.04,29.94,60,Ext,5,0.47,0.816,22
109,1848.17,1.35,56.75,Ext,6,0.685,1.2,22
111,1926.1,39.54,83.5,Ext,12,0.294,1.008,22
114,1981.16,15.05,85.25,Ext,10,22.108,17.663,22
115,1984.28,18.18,91.75,Ext,14,3.229,6.768,22
119,2123.48,38.33,62.75,Ext,4,1.996,2.208,22
129,2482.1,39.45,86.5,Ext,15,0.392,1.032,22
131,2482.6,0.32,90.25,Ext,31,3.62,7.776,22
132,2484.89,2.61,98.5,Ext,29,0.294,1.392,22
133,2485.15,2.87,94,Ext,16,1.174,1.704,22
138,2625.36,23.86,86,Ext,15,1.468,5.04,22
139,2626.65,25.15,85.5,Ext,12,2.935,4.152,22
140,2632.53,31.03,132.75,Ext,5,0.685,0.84,22
141,2632.74,31.24,103.5,Ext,22,4.109,8.928,22
143,2634.43,0.13,94.75,Ext,13,5.381,6.48,22
144,2636.5,2.19,109.75,Ext,9,3.913,3.816,22
145,2641.75,7.44,94.5,Ext,17,0.49,0.912,22
146,2642.52,8.22,95,Ext,11,0.392,0.84,22
147,2644.85,10.55,75.75,Ext,15,0.392,1.224,22
148,2649.14,14.84,85.5,Ext,24,5.968,4.416,22
150,2713.38,39.39,90,Ext,7,1.644,5.808,22
153,2779.18,25.74,81,Ext,16,0.294,1.008,22
154,2787.17,33.73,79.25,Ext,7,0.392,0.984,22
155,2792.63,39.19,86.5,Int,11,3.815,5.592,22
170,3305.7,36.02,166.5,Ext,14,0.294,1.296,22
176,3496.05,28.42,92,Ext,27,0.294,0.936,22
177,3497.4,29.77,89.25,Ext,14,0.392,1.632,22
180,3540.32,7.14,14.75,Int,25,0.49,1.44,22
188,3747.62,2.18,68.25,Ext,11,0.49,1.104,22
189,3748.63,3.18,68.25,Ext,29,1.37,2.76,22
190,3749.2,3.75,120.25,Ext,17,4.109,5.88,22
