joint_no,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
290,495.56,9.32,101.2824,Ext,12,2.249,3.648,22
340,647.03,30.52,112.536,Ext,13,1.662,2.184,22
340,647.06,30.54,63.7704,Ext,10,2.444,5.784,22
340,647.49,30.98,108.7848,Ext,20,1.076,1.224,22
370,751.59,16.23,108.7848,Ext,12,2.737,8.904,22
370,752.24,16.85,120.0384,Ext,11,0.88,0.936,22
370,752.55,17.1,90.0288,Ext,14,4.204,7.152,22
370,752.52,17.16,105.0336,Ext,13,2.249,2.184,22
370,753.79,18.4,97.5312,Ext,14,0.88,0.936,22
390,823.11,8.76,138.7944,Ext,17,2.444,5.304,22
450,1072.73,20.66,97.5312,Ext,10,0.587,0.672,22
490,1229.81,19.22,90.0288,Ext,10,1.662,2.424,22
550,1409.75,1.78,101.2824,Ext,26,1.076,0.744,22
600,1606.1,0.2,97.5312,Ext,20,0.685,0.984,22
630,1748.53,23.86,97.5312,Ext,12,0.782,0.696,22
630,1748.71,24.03,97.5312,Ext,15,0.978,0.912,22
670,1922.69,39.49,93.78,Ext,10,1.76,1.128,22
690,1980.82,18.25,97.5312,Ext,14,1.858,3.024,22
810,2477.33,39.34,93.78,Ext,10,1.076,1.176,22
820,2477.84,0.18,97.5312,Ext,36,3.519,4.344,22
820,2480.13,2.57,105.0336,Ext,33,1.271,0.768,22
820,2480.38,2.83,101.2824,Ext,10,1.076,1.32,22
850,2620.23,23.78,90.0288,Ext,10,1.564,3.624,22
850,2621.41,24.93,97.5312,Ext,10,0.685,0.912,22
850,2627.58,31.11,112.536,Ext,19,0.685,0.576,22
860,2629.27,0.11,101.2824,Ext,10,0.978,2.112,22
860,2636.56,7.4,101.2824,Ext,14,0.685,0.744,22
860,2637.33,8.17,101.2824,Ext,10,0.587,0.696,22
860,2639.65,10.49,82.5264,Ext,13,0.782,0.792,22
860,2643.99,14.75,97.5312,Ext,22,2.542,4.344,22
870,2708,39.25,97.5312,Ext,10,1.076,2.112,22
890,2773.65,25.68,90.0288,Ext,13,0.685,0.744,22
890,2787.06,39.1,97.5312,Ext,13,1.173,1.248,22
1020,3299.38,36,176.3064,Ext,19,0.587,0.96,22
1070,3489.6,28.39,101.2824,Ext,28,0.685,0.504,22
1070,3490.95,29.76,97.5312,Ext,15,0.685,1.368,22
1090,3533.81,7.13,22.5072,Int,25,0.685,0.84,22
1150,3740.75,2.16,75.024,Ext,10,0.88,1.128,22
1150,3741.74,3.12,75.024,Ext,29,1.369,1.704,22
1150,3742.31,3.71,131.292,Ext,19,1.173,1.416,22
1200,3976.09,39.52,112.536,Ext,11,2.737,3.384,22
1300,4357.26,23.16,86.2776,Ext,10,2.249,1.464,22
1450,4936.67,6.58,56.268,Ext,10,0.88,1.176,22
1530,5271.71,23.92,135.0432,Ext,10,0.782,0.72,22
1540,5294.92,7.33,142.5456,Ext,10,0.782,0.768,22
1600,5529.9,4.27,86.2776,Ext,10,1.662,2.976,22
1600,5557.58,31.93,97.5312,Ext,10,0.685,0.816,22
1600,5558.45,32.79,180.0576,Ext,16,0.685,0.672,22
1600,5563.02,37.37,180.0576,Ext,10,0.782,1.104,22
1620,5598.04,1.49,120.0384,Ext,15,2.053,3.024,22
1620,5614.43,17.89,105.0336,Ext,10,0.587,0.792,22
1620,5621.85,25.31,78.7752,Ext,15,0.978,0.696,22
1640,5703.94,27.85,90.0288,Ext,18,0.685,0.672,22
1740,6054.5,12.49,120.0384,Ext,19,0.489,0.432,22
1740,6054.51,12.49,86.2776,Ext,10,0.978,0.432,22
1750,6110.38,28.63,97.5312,Ext,10,0.489,0.84,22
1750,6110.9,29.17,101.2824,Ext,10,0.685,0.624,22
1800,6274.2,0.8,101.2824,Ext,10,1.369,2.88,22
1800,6274.33,0.94,90.0288,Ext,11,0.88,1.176,22
1830,6393.47,0.94,97.5312,Ext,33,1.662,2.184,22
2100,7382.63,3.79,150.048,Ext,10,1.662,2.424,22
2240,7973.5,38.7,75.024,Int,10,2.053,0.96,22
2260,8046.66,35.69,82.5264,Ext,30,0.587,0.504,22
2270,8057.7,7.08,82.5264,Ext,10,0.685,0.936,22
2330,8317.3,28.41,63.7704,Ext,21,1.955,12.504,22
2330,8317.32,28.45,127.5408,Ext,10,2.737,12.264,22
2330,8317.65,28.7,48.7656,Ext,10,0.782,2.04,22
2330,8317.75,28.8,123.7896,Ext,10,0.88,1.128,22
2330,8318.01,29.01,127.5408,Ext,19,2.346,10.776,22
2400,8579.99,14.74,52.5168,Ext,10,1.076,2.472,22
2470,8859.21,18.04,60.0192,Ext,14,0.587,1.128,22
2590,9329.88,15.09,97.5312,Ext,11,0.587,0.528,22
2710,9797.42,13.41,135.0432,Ext,15,0.88,0.744,22
2840,10298.6,1.08,93.78,Ext,14,0.88,0.528,22
2850,10338.26,1.47,172.5552,Ext,25,0.587,0.696,22
2900,10534.28,0.96,97.5312,Ext,12,0.88,1.464,22
2960,10767.34,35.11,180.0576,Ext,11,0.685,0.744,22
2990,10883.65,32.16,123.7896,Ext,10,2.64,9.144,22
3010,10937.97,7,112.536,Ext,10,1.369,3.6,22
3130,11339.94,14.09,123.7896,Ext,10,0.88,1.056,22
3140,11341.2,0.36,90.0288,Ext,11,0.978,1.368,22
3140,11348.88,8.03,135.0432,Ext,13,0.782,0.984,22
3140,11351.01,10.14,63.7704,Ext,16,1.564,3.144,22
3150,11406.8,26.18,97.5312,Ext,12,0.587,0.912,22
3160,11431.48,11.11,75.024,Ext,22,0.587,0.528,22
3170,11490.78,30.5,86.2776,Ext,10,1.076,0.984,22
3190,11540.89,1.12,41.2632,Ext,23,2.542,2.184,22
3190,11541.29,1.46,41.2632,Ext,20,1.564,0.744,22
3520,12884.63,36.25,75.024,Ext,14,1.076,1.992,22
3570,13082.4,36.61,56.268,Int,10,1.271,1.464,22
3660,13409.47,6.3,165.0528,Int,10,1.858,0.96,22
3840,14134.43,18.8,56.268,Ext,10,1.369,3.624,22
3840,14135.26,19.59,135.0432,Ext,10,0.685,1.296,22
3840,14136.46,20.81,67.5216,Ext,11,0.685,0.744,22
3840,14137.74,22.1,52.5168,Ext,10,0.88,1.056,22
3840,14138.24,22.59,75.024,Ext,10,0.685,1.104,22
3840,14142.03,26.38,63.7704,Ext,10,1.076,0.768,22
3840,14142.34,26.68,63.7704,Ext,10,0.978,1.944,22
